nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
MERCADO 3M;4712100;4305108;RS;DESVIO RIZZO
EQMED EXPRESS;4644302;4305108;RS;CRUZEIRO
LANCHERIA E FRUTEIRA PELLENZ;4712100;4305108;RS;KAYSER
VAL MASSAS LTDA;4712100;4305108;RS;CIDADE NOVA
PETS DA GALAXIA;9609208;4305108;RS;PRESIDENTE VARGAS
FRATERNIDADE DOS PETS;9609208;4305108;RS;SAO PELEGRINO
ALINE MERCEARIA;4711302;4305108;RS;SANTA LUCIA DO PIAI
FERRAGEM E AGROPECUARIA GALOPOLIS;4771704;4305108;RS;GALOPOLIS
FLORA PET ESTETICA ANIMAL;9609208;4305108;RS;UNIVERSITARIO
MERCADO AGROPET;4623109;4305108;RS;BELA VISTA
MERCERIA CONFIANCA;4712100;4305108;RS;CINQUENTENARIO
MARTINS;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
R.S. AGROPET LTDA;4789004;4305108;RS;BELA VISTA
MINIMAL CUIDADO ANIMAL;9609208;4305108;RS;CRUZEIRO
RACOES DREHER;4789004;4305108;RS;NOSSA SENHORA DAS GRACAS
MAGIA DO PELO;4789004;4305108;RS;ESPLANADA
AMANDA VIANA;9609208;4305108;RS;KAYSER
PET DARLING SHOW;9609208;4305108;RS;ESPLANADA
PET FRIEND CLUB;9609208;4305108;RS;SANVITTO
MERCADINHO DO JAPA;4712100;4305108;RS;NOSSA SENHORA DE FATIMA
MERCEARIA BUDEGUINHA;4712100;4305108;RS;SANTA CATARINA
GIGI STUDIO PET;9609208;4305108;RS;MARECHAL FLORIANO
LANCHES BETY;4712100;4305108;RS;CHARQUEADAS
BEL MERCEARIA;4712100;4305108;RS;SAO LUIZ
ELAINE DA COSTA RAMOS;4789004;4305108;RS;NOSSA SENHORA DA SAUDE
CHIC DOG PET SHOP;4789004;4305108;RS;NOSSA SENHORA DE LOURDES
AMOR D PETS ESTETICA ANIMAL / FRATERNIDADE DOS PETS;9609208;4305108;RS;SAO PELEGRINO
LUNA ESTETICA ANIMAL;9609208;4305108;RS;DE LAZZER
MINI MERCADO AVENIDA BRASIL;4712100;4305108;RS;JARDIM AMERICA
BECKER PRODUTOS COLONIAIS;4712100;4305108;RS;RIO BRANCO
SALUTE CENTRO VETERINARIO;7500100;4305108;RS;PIO X
MINI MERCADO DE ZORZI;4712100;4305108;RS;DIAMANTINO
HARYANNE MUNIZ;9609208;4305108;RS;BELA VISTA
CAFOFO DOS PETZ;9609208;4305108;RS;SAO CRISTOVAO
MINI MERCADO FORQUETA;4712100;4305108;RS;FORQUETA
COMERCIAL BORGES AGROPECUARIA ACESSORIOS E RACOES;4789004;4305108;RS;KAYSER
PET LOVE;9609208;4305108;RS;INTERLAGOS
ECO DECORE;4789004;4305108;RS;CRUZEIRO
KANAKE MULTIALIMENTOS;4691500;4305108;RS;CRUZEIRO
SHERON MODA PET;4789004;4305108;RS;SAO CRISTOVAO
A.B.OLIVEIRA VET;7500100;4305108;RS;SANTO ANTONIO
CANILLIFEPET;0159802;4305108;RS;SANTO ANTONIO
WILLIAM VASQUES;7500100;4305108;RS;NOSSA SENHORA DA SAUDE
LUDCARV;4789004;4305108;RS;SANTA CATARINA
MINI MERCADO E PADARIA DA GRINGA;4712100;4305108;RS;KAYSER
CASA DO PET BANHO E TOSA;9609208;4305108;RS;VILA SECA
PET SHOP ALICE;0159802;4305108;RS;ESPLANADA
CT RAFAEL TERRA;9609208;4305108;RS;VILA SECA
DOMDOGS;4771704;4305108;RS;UNIVERSITARIO
ESPACO PET BANHO E TOSA;9609208;4305108;RS;JARDIM AMERICA
FAUNA SOUND;7500100;4305108;RS;SAO VICTOR COHAB
LUAU BANHO E TOSA;9609208;4305108;RS;RIO BRANCO
ACONCHEGO PETCARE;9609208;4305108;RS;ESPLANADA
BANCA 70;4712100;4305108;RS;CRISTO REDENTOR
M.P PADARIA E MINI MERCADO;4712100;4305108;RS;CIDADE NOVA
BARBER DOG;9609208;4305108;RS;DESVIO RIZZO
MERCADO CHARRUA;4712100;4305108;RS;ESPLANADA
REIS REPRESENTACOES;4789004;4305108;RS;JARDELINO RAMOS
BATISTA;4712100;4305108;RS;CHARQUEADAS
MERCADO LIMA;4712100;4305108;RS;SANTA CATARINA
ALEXANDRA PAIM CECATTO;4789004;4305108;RS;SAO CRISTOVAO
IRMAO BICHO;9609208;4305108;RS;SANTA CATARINA
BIBIANA FELICIA'S ESTETICA ANIMAL;9609208;4305108;RS;RIO BRANCO
EMPORIO DAS RACOES;4789004;4305108;RS;NOSSA SENHORA DE LOURDES
MINIMERCADO MARCOS;4712100;4305108;RS;SANTA FE
FABI PET HOUSE;9609208;4305108;RS;INTERLAGOS
TMRD;4789004;4305108;RS;PANAZZOLO
BARBER DOG;9609208;4305108;RS;CENTRO
BAR GILMAR;4712100;4305108;RS;NOSSA SENHORA DAS GRACAS
CONVRE MULTICOMERCIO;4712100;4305108;RS;PIO X
ALEMIX;4691500;4305108;RS;RIO BRANCO
SUPER CRISAN;4711302;4305108;RS;ESPLANADA
CARINHOS PET SERVICOS DE BANHO E TOSA L;9609208;4305108;RS;ESPLANADA
CONSULTORIO VETERINARIO MEDIANEIRA;7500100;4305108;RS;MEDIANEIRA
SENCER SERVIS E COMERCIO;4712100;4305108;RS;ANA RECH
STOK CENTER;4711301;4305108;RS;SAGRADA FAMILIA
MERCADO VITORIA REDE DAX;4712100;4305108;RS;SANTA CATARINA
CHEILA NIENOW;9609208;4305108;RS;SAO CAETANO
CMV EMPRESA;9609208;4305108;RS;CHARQUEADAS
MERCEARIA SANTA EDWIGES;4712100;4305108;RS;SANTA CATARINA
AGROPET WD MELO;4789004;4305108;RS;CIDADE NOVA
EDIANE LANG;9609208;4305108;RS;DESVIO RIZZO
AUREA KAMINSKI REPRESENTACOES;4789004;4305108;RS;CIDADE NOVA
EMPORIO IMIGRANTE;4712100;4305108;RS;NOSSA SENHORA DE LOURDES
EMPORIO DAS CARNES;4712100;4305108;RS;DE LAZZER
KEFOFUXOS;9609208;4305108;RS;DESVIO RIZZO
ABC PET SHOP;9609208;4305108;RS;CRUZEIRO
MERCEARIA ALVES;4712100;4305108;RS;CHARQUEADAS
MUNDO APARTE CAXIAS;7500100;4305108;RS;CENTRO
RBC NEUROFTALMOLOGIA VETERINARIA;7500100;4305108;RS;PETROPOLIS
AGROPET CANTO VERDE;4789004;4305108;RS;DIAMANTINO
GUSTAVO MARQUES DE FREITAS;8011102;4305108;RS;CHARQUEADAS
PET LIFE;9609208;4305108;RS;NOSSA SENHORA DE LOURDES
MERCADO KL;4712100;4305108;RS;SANTA FE
COMARIM SUPERMERCADOS;4711302;4305108;RS;ESPLANADA
FRUTEIRA LUIGUI;4712100;4305108;RS;KAYSER
SACOLAO DA FAMILIA;4712100;4305108;RS;BELA VISTA
PRETTY DOG - ATELIE DE BANHO E TOSA;9609208;4305108;RS;SANTA FE
PELUOSA PET SHOP;4789004;4305108;RS;PLANALTO
MULTI VILLAGIO;4711302;4305108;RS;SANTA CATARINA
SANTOS DIVERSOS;4712100;4305108;RS;PIONEIRO
LEONARDO MARTINI;9609208;4305108;RS;SALGADO FILHO
GUSTAVO SILVA;9609208;4305108;RS;CIDADE NOVA
BABA DE PETS IVANA;9609208;4305108;RS;PETROPOLIS
CINTIA RIBEIRO;4712100;4305108;RS;VILA SECA
VIDI AVES ORNAMENTAIS;0159802;4305108;RS;SAO LUIZ
A CASA DO LORD;0159802;4305108;RS;NOSSA SENHORA DE LOURDES
ARMAZEM 3828;4712100;4305108;RS;BELA VISTA
SOLDERA AGROPECUARIA;4789004;4305108;RS;NOSSA SRA. LOURDES
NESS;4712100;4305108;RS;DESVIO RIZZO
BAR MEDIANEIRA;4712100;4305108;RS;MEDIANEIRA
BAR DO PEDRAO;4712100;4305108;RS;DIAMANTINO
DOG VILLE;9609208;4305108;RS;SETIMA LEGUA
BAR E ARMAZEM SCHIAVO;4712100;4305108;RS;CRUZEIRO
BICHANO VETERINARIA E PET SHOP;4789004;4305108;RS;BELA VISTA
TORDILHO NEGRO AGROPECUARIA;4789004;4305108;RS;SAO CIRO
MULTIFERNANDES;4711302;4305108;RS;SAO JOSE
BAR E ARMAZEM SERRANO;4712100;4305108;RS;SAO CAETANO
FISCHER DISTRIBUIDORA;4712100;4305108;RS;BELA VISTA
