nome_fantasia;cnae_principal;municipio-id;estado-sigla;bairro
TRIACCA TECNOLOGIA E DESIGN;6311900;4302105;RS;CONCEICAO
CONDOMINIO RESIDENCIAL HILDA FRONZA;8112500;4302105;RS;SAO ROQUE
CAPELLARI CONTABILIDADE;6920601;4302105;RS;CIDADE ALTA
DEBORA LAZZAROTTO REPRESENTACOES;4617600;4302105;RS;MARIA GORETTI
MARCELO TOPOGRAFIA;8599604;4302105;RS;PROGRESSO
A.C. CONSTRUCOES;4120400;4302105;RS;BOTAFOGO
MAGIK DECORACOES;7410202;4302105;RS;SAO FRANCISCO
TECNOPAINT;7119703;4302105;RS;SANTO ANTAO
DAHLEM EMPREITEIRA;4120400;4302105;RS;CIDADE ALTA
MPC CONFECCOES;1412601;4302105;RS;BOTAFOGO
ALINE CELI NOVICKI;9602501;4302105;RS;SAO ROQUE
RM INSTALACOES ELETRICAS E ELETROELETRONICOS;4321500;4302105;RS;BORGO
FABIANE;8599604;4302105;RS;UNIVERSITARIO
TRANSPORTE DEMARCOS;4930202;4302105;RS;FATIMA
VIVI CONCEITO EM CABELOS;9602501;4302105;RS;BORGO
KANINDE;4781400;4302105;RS;BORGO
JARDIM ENCANTADO;8130300;4302105;RS;SAO ROQUE
FAVORITTA TRANSPORTES;4930202;4302105;RS;LICORSUL
PARA-TI;4929902;4302105;RS;IMIGRANTE
LIBRI CONTABILIDADE DIGITAL;6920601;4302105;RS;UNIVERSITARIO
DG TRANSPORTES;4930201;4302105;RS;SAO FRANCISCO
RESIDENCIAL JARDIM PLANALTO;8112500;4302105;RS;SAO FRANCISCO
PILLETTI;8219999;4302105;RS;CENTRO
FOPPA PINTURA;4330404;4302105;RS;LICORSUL
CLAUDIO PINTURA E MANUTENCAO RESIDENCIAL;4330404;4302105;RS;CONCEICAO
MARCIO ALVES ROSSATTO;4772500;4302105;RS;CENTRO
XSEA;4649401;4302105;RS;CIDADE ALTA
LUCIR PEDRASSINI;4773300;4302105;RS;PROGRESSO
CLEBERTON ELIEL NUNES DE MATOS;5320202;4302105;RS;VILA NOVA II
AB TRANSPORTE EXECUTIVO E EVENTOS;8230001;4302105;RS;SANTA RITA
CENTRO DE COBRANCAS BENTO GONCALVES;8291100;4302105;RS;CENTRO
REDOMA GERENCIAMENTO E TREINAMENTO;8599604;4302105;RS;HUMAITA
BS ESTACIONAMENTO;5223100;4302105;RS;CENTRO
